card_id,bank,country,home_geo,holder_email,status
CARD_0029,HDFC,IN,IN-Pune,user0029@example.com,active
CARD_0030,SBI,IN,IN-Ahmedabad,user0030@example.com,active
CARD_0031,SBI,IN,IN-Bangalore,user0031@example.com,active
CARD_0032,SBI,IN,IN-Hyderabad,user0032@example.com,active
CARD_0033,ICICI,IN,IN-Kolkata,user0033@example.com,active
CARD_0034,HDFC,IN,IN-Bangalore,user0034@example.com,active
CARD_0035,Kotak,IN,IN-Chennai,user0035@example.com,active
CARD_0036,ICICI,IN,IN-Ahmedabad,user0036@example.com,active
CARD_0037,Axis,IN,IN-Kolkata,user0037@example.com,active
CARD_0038,Kotak,IN,IN-Chennai,user0038@example.com,active
CARD_0039,SBI,IN,IN-Mumbai,user0039@example.com,active
CARD_0040,ICICI,IN,IN-Mumbai,user0040@example.com,active
CARD_0041,SBI,IN,IN-Pune,user0041@example.com,active
CARD_0042,SBI,IN,IN-Delhi,user0042@example.com,active
CARD_0043,ICICI,IN,IN-Hyderabad,user0043@example.com,active
CARD_0044,ICICI,IN,IN-Ahmedabad,user0044@example.com,active
CARD_0045,Axis,IN,IN-Ahmedabad,user0045@example.com,active
CARD_0046,ICICI,IN,IN-Kolkata,user0046@example.com,active
CARD_0047,ICICI,IN,IN-Chennai,user0047@example.com,active
CARD_0048,Kotak,IN,IN-Kolkata,user0048@example.com,active
CARD_0049,Kotak,IN,IN-Pune,user0049@example.com,active
CARD_0050,Kotak,IN,IN-Pune,user0050@example.com,active
CARD_0051,SBI,IN,IN-Chennai,user0051@example.com,active
CARD_0052,ICICI,IN,IN-Ahmedabad,user0052@example.com,active
CARD_0053,HDFC,IN,IN-Mumbai,user0053@example.com,active
CARD_0054,HDFC,IN,IN-Bangalore,user0054@example.com,active
CARD_0055,ICICI,IN,IN-Pune,user0055@example.com,active
CARD_0056,Kotak,IN,IN-Delhi,user0056@example.com,active
CARD_0057,Axis,IN,IN-Pune,user0057@example.com,active
CARD_0058,Kotak,IN,IN-Ahmedabad,user0058@example.com,active
CARD_0059,Kotak,IN,IN-Kolkata,user0059@example.com,active
CARD_0060,Kotak,IN,IN-Mumbai,user0060@example.com,active
CARD_0061,HDFC,IN,IN-Kolkata,user0061@example.com,active
CARD_0062,SBI,IN,IN-Delhi,user0062@example.com,active
CARD_0063,SBI,IN,IN-Pune,user0063@example.com,active
CARD_0064,ICICI,IN,IN-Ahmedabad,user0064@example.com,active
CARD_0065,HDFC,IN,IN-Kolkata,user0065@example.com,active
CARD_0066,Kotak,IN,IN-Bangalore,user0066@example.com,active
CARD_0067,Kotak,IN,IN-Delhi,user0067@example.com,active
CARD_0068,SBI,IN,IN-Chennai,user0068@example.com,active
CARD_0069,ICICI,IN,IN-Hyderabad,user0069@example.com,active
CARD_0070,ICICI,IN,IN-Mumbai,user0070@example.com,active
CARD_0071,Kotak,IN,IN-Hyderabad,user0071@example.com,active
CARD_0072,Axis,IN,IN-Mumbai,user0072@example.com,active
CARD_0073,HDFC,IN,IN-Hyderabad,user0073@example.com,active
CARD_0074,SBI,IN,IN-Chennai,user0074@example.com,active
CARD_0075,HDFC,IN,IN-Chennai,user0075@example.com,active
CARD_0076,Kotak,IN,IN-Delhi,user0076@example.com,active
CARD_0077,HDFC,IN,IN-Ahmedabad,user0077@example.com,active
CARD_0078,HDFC,IN,IN-Bangalore,user0078@example.com,active
CARD_0079,ICICI,IN,IN-Ahmedabad,user0079@example.com,active
CARD_0080,Kotak,IN,IN-Bangalore,user0080@example.com,active
CARD_0081,SBI,IN,IN-Pune,user0081@example.com,active
CARD_0082,ICICI,IN,IN-Chennai,user0082@example.com,active
CARD_0083,SBI,IN,IN-Pune,user0083@example.com,active
CARD_0084,SBI,IN,IN-Ahmedabad,user0084@example.com,active
CARD_0085,Kotak,IN,IN-Ahmedabad,user0085@example.com,active
CARD_0086,HDFC,IN,IN-Chennai,user0086@example.com,active
CARD_0087,ICICI,IN,IN-Delhi,user0087@example.com,active
CARD_0088,SBI,IN,IN-Mumbai,user0088@example.com,active
CARD_0089,Kotak,IN,IN-Chennai,user0089@example.com,active
CARD_0090,Kotak,IN,IN-Chennai,user0090@example.com,active
CARD_0091,HDFC,IN,IN-Delhi,user0091@example.com,active
CARD_0092,HDFC,IN,IN-Chennai,user0092@example.com,active
CARD_0093,HDFC,IN,IN-Mumbai,user0093@example.com,active
CARD_0094,SBI,IN,IN-Delhi,user0094@example.com,active
CARD_0095,Kotak,IN,IN-Chennai,user0095@example.com,active
CARD_0096,SBI,IN,IN-Ahmedabad,user0096@example.com,active
CARD_0097,ICICI,IN,IN-Bangalore,user0097@example.com,active
CARD_0098,Kotak,IN,IN-Ahmedabad,user0098@example.com,active
CARD_0099,ICICI,IN,IN-Ahmedabad,user0099@example.com,active
CARD_0100,Axis,IN,IN-Chennai,user0100@example.com,active
CARD_0101,HDFC,IN,IN-Delhi,user0101@example.com,active
CARD_0102,Axis,IN,IN-Hyderabad,user0102@example.com,active
CARD_0103,Axis,IN,IN-Pune,user0103@example.com,active
CARD_0104,Axis,IN,IN-Mumbai,user0104@example.com,active
CARD_0105,HDFC,IN,IN-Mumbai,user0105@example.com,active
CARD_0106,Axis,IN,IN-Hyderabad,user0106@example.com,active
CARD_0107,HDFC,IN,IN-Chennai,user0107@example.com,active
CARD_0108,ICICI,IN,IN-Chennai,user0108@example.com,active
CARD_0109,Kotak,IN,IN-Ahmedabad,user0109@example.com,active
CARD_0110,ICICI,IN,IN-Pune,user0110@example.com,active
CARD_0111,ICICI,IN,IN-Kolkata,user0111@example.com,active
CARD_0112,Axis,IN,IN-Chennai,user0112@example.com,active
CARD_0113,HDFC,IN,IN-Ahmedabad,user0113@example.com,active
CARD_0114,Kotak,IN,IN-Delhi,user0114@example.com,active
CARD_0115,HDFC,IN,IN-Mumbai,user0115@example.com,active
CARD_0116,HDFC,IN,IN-Chennai,user0116@example.com,active
CARD_0117,ICICI,IN,IN-Pune,user0117@example.com,active
CARD_0118,Axis,IN,IN-Ahmedabad,user0118@example.com,active
CARD_0119,ICICI,IN,IN-Pune,user0119@example.com,active
CARD_0120,HDFC,IN,IN-Bangalore,user0120@example.com,active
CARD_0121,Axis,IN,IN-Mumbai,user0121@example.com,active
CARD_0122,Axis,IN,IN-Kolkata,user0122@example.com,active
CARD_0123,Axis,IN,IN-Kolkata,user0123@example.com,active
CARD_0124,Axis,IN,IN-Ahmedabad,user0124@example.com,active
CARD_0125,ICICI,IN,IN-Chennai,user0125@example.com,active
CARD_0126,SBI,IN,IN-Chennai,user0126@example.com,active
CARD_0127,HDFC,IN,IN-Mumbai,user0127@example.com,active
CARD_0128,SBI,IN,IN-Mumbai,user0128@example.com,active
CARD_0129,HDFC,IN,IN-Ahmedabad,user0129@example.com,active
CARD_0130,Kotak,IN,IN-Bangalore,user0130@example.com,active
CARD_0131,HDFC,IN,IN-Delhi,user0131@example.com,active
CARD_0132,ICICI,IN,IN-Delhi,user0132@example.com,active
CARD_0133,Kotak,IN,IN-Delhi,user0133@example.com,active
CARD_0134,ICICI,IN,IN-Pune,user0134@example.com,active
CARD_0135,HDFC,IN,IN-Chennai,user0135@example.com,active
CARD_0136,Kotak,IN,IN-Mumbai,user0136@example.com,active
CARD_0137,Kotak,IN,IN-Delhi,user0137@example.com,active
CARD_0138,Axis,IN,IN-Hyderabad,user0138@example.com,active
CARD_0139,SBI,IN,IN-Chennai,user0139@example.com,active
CARD_0140,SBI,IN,IN-Chennai,user0140@example.com,active
CARD_0141,SBI,IN,IN-Pune,user0141@example.com,active
CARD_0142,ICICI,IN,IN-Kolkata,user0142@example.com,active
CARD_0143,Axis,IN,IN-Hyderabad,user0143@example.com,active
CARD_0144,HDFC,IN,IN-Mumbai,user0144@example.com,active
CARD_0145,Axis,IN,IN-Delhi,user0145@example.com,active
CARD_0146,HDFC,IN,IN-Chennai,user0146@example.com,active
CARD_0147,Kotak,IN,IN-Kolkata,user0147@example.com,active
CARD_0148,ICICI,IN,IN-Hyderabad,user0148@example.com,active
CARD_0149,HDFC,IN,IN-Chennai,user0149@example.com,active
CARD_0150,SBI,IN,IN-Kolkata,user0150@example.com,active
CARD_0151,ICICI,IN,IN-Ahmedabad,user0151@example.com,active
CARD_0152,Kotak,IN,IN-Kolkata,user0152@example.com,active
CARD_0153,Kotak,IN,IN-Mumbai,user0153@example.com,active
CARD_0154,Kotak,IN,IN-Kolkata,user0154@example.com,active
CARD_0155,HDFC,IN,IN-Bangalore,user0155@example.com,active
CARD_0156,SBI,IN,IN-Delhi,user0156@example.com,active
CARD_0157,HDFC,IN,IN-Bangalore,user0157@example.com,active
CARD_0158,SBI,IN,IN-Kolkata,user0158@example.com,active
CARD_0159,Kotak,IN,IN-Chennai,user0159@example.com,active
CARD_0160,SBI,IN,IN-Chennai,user0160@example.com,active
CARD_0161,SBI,IN,IN-Ahmedabad,user0161@example.com,active
CARD_0162,SBI,IN,IN-Mumbai,user0162@example.com,active
CARD_0163,HDFC,IN,IN-Pune,user0163@example.com,active
CARD_0164,SBI,IN,IN-Mumbai,user0164@example.com,active
CARD_0165,HDFC,IN,IN-Hyderabad,user0165@example.com,active
CARD_0166,ICICI,IN,IN-Kolkata,user0166@example.com,active
CARD_0167,ICICI,IN,IN-Ahmedabad,user0167@example.com,active
CARD_0168,Kotak,IN,IN-Pune,user0168@example.com,active
CARD_0169,Kotak,IN,IN-Mumbai,user0169@example.com,active
CARD_0170,HDFC,IN,IN-Delhi,user0170@example.com,active
CARD_0171,ICICI,IN,IN-Mumbai,user0171@example.com,active
CARD_0172,SBI,IN,IN-Bangalore,user0172@example.com,active
CARD_0173,Axis,IN,IN-Bangalore,user0173@example.com,active
CARD_0174,HDFC,IN,IN-Kolkata,user0174@example.com,active
CARD_0175,SBI,IN,IN-Mumbai,user0175@example.com,active
CARD_0176,SBI,IN,IN-Chennai,user0176@example.com,active
CARD_0177,ICICI,IN,IN-Delhi,user0177@example.com,active
CARD_0178,SBI,IN,IN-Pune,user0178@example.com,active
CARD_0179,Kotak,IN,IN-Bangalore,user0179@example.com,active
CARD_0180,ICICI,IN,IN-Bangalore,user0180@example.com,active
CARD_0181,ICICI,IN,IN-Pune,user0181@example.com,active
CARD_0182,HDFC,IN,IN-Bangalore,user0182@example.com,active
CARD_0183,SBI,IN,IN-Pune,user0183@example.com,active
CARD_0184,ICICI,IN,IN-Kolkata,user0184@example.com,active
CARD_0185,ICICI,IN,IN-Delhi,user0185@example.com,active
CARD_0186,Axis,IN,IN-Mumbai,user0186@example.com,active
CARD_0187,Axis,IN,IN-Chennai,user0187@example.com,active
CARD_0188,ICICI,IN,IN-Ahmedabad,user0188@example.com,active
CARD_0189,SBI,IN,IN-Kolkata,user0189@example.com,active
CARD_0190,ICICI,IN,IN-Chennai,user0190@example.com,active
CARD_0191,HDFC,IN,IN-Chennai,user0191@example.com,active
CARD_0192,Axis,IN,IN-Hyderabad,user0192@example.com,active
CARD_0193,SBI,IN,IN-Delhi,user0193@example.com,active
CARD_0194,SBI,IN,IN-Hyderabad,user0194@example.com,active
CARD_0195,Kotak,IN,IN-Pune,user0195@example.com,active
CARD_0196,Kotak,IN,IN-Hyderabad,user0196@example.com,active
CARD_0197,HDFC,IN,IN-Delhi,user0197@example.com,active
CARD_0198,SBI,IN,IN-Bangalore,user0198@example.com,active
CARD_0199,Kotak,IN,IN-Kolkata,user0199@example.com,active
CARD_CLEAN,HDFC,IN,IN-Mumbai,mehta.paritosh95@gmail.com,active
CARD_BLOCKED,SBI,IN,IN-Delhi,blocked@example.com,active
CARD_VELOCITY,ICICI,IN,IN-Delhi,velocity@example.com,active
CARD_HIVAL,Axis,IN,IN-Bangalore,mehta.paritosh95@gmail.com,active
